App version,assessment-go1.15.5/linux-amd64/a49b41d26b
CPU model,"Intel Xeon Processor (Skylake, IBRS)"
CPU numLogical,4
CPU flags,3dnowprefetch abm adx aes apic arat avx avx2 avx512bw avx512cd avx512dq avx512f avx512vl bmi1 bmi2 clflush clwb cmov constant_tsc cpuid cpuid_fault cx16 cx8 de erms f16c fma fpu fsgsbase fxsr hle ht hypervisor ibpb ibrs invpcid invpcid_single lahf_lm lm mca mce md_clear mmx movbe msr mtrr nopl nx ospke pae pat pcid pclmulqdq pdpe1gb pge pku pni popcnt pse pse36 pti rdrand rdseed rdtscp rep_good rtm sep smap smep ssbd sse sse2 sse4_1 sse4_2 ssse3 syscall tsc tsc_deadline_timer tsc_known_freq vme x2apic xgetbv1 xsave xsavec xsaveopt xtopology
CPU maxFreq,2100 MHz
Memory size,15.27 GB
"fibonacci, function _main, numRuns 10",1.132,
"cpu calculate, function cpuCalculate, numRuns 2000",0.862,
"storage100, function store100, numRuns 2000",0.754,
"C API big int, function bigIntNewTest, numRuns 700",1.269,
"C API big int mul 32, function bigIntMul32Test, numRuns 2",0.778,
"C API sha256, function sha256Test, numRuns 30",0.667,
"C API keccak256, function keccak256Test, numRuns 30",1.020,
"C API ripemd160, function ripemd160Test, numRuns 30",0.730,
"C API verify BLS, function verifyBLSTest, numRuns 5",0.880,
"C API verify ED25519, function verifyEd25519Test, numRuns 50",0.932,
"C API verify secp256k1 uncompressed, function verifySecp256k1UncompressedKeyTest, numRuns 400",10.794,
"C API verify secp256k1 compressed, function verifySecp256k1CompressedKeyTest, numRuns 200",5.890,
"Delegation in Arwen, 2000 stake executions, minimum duration",1.611,
"ERC20 in C, 1000 transfer executions, minimum duration",1.044,
"ERC20 in Rust, 300 transfer executions, minimum duration",0.620,
TOTAL,28.984,
